"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_sum_dist","auto_bearing_n_cells","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"EMP","GOUL","Gould","48.5",8242,2009,3.21,"1",8242,2009,3.21,"1",8242,1,3.21,"1",8242,2009,3.21,"1",5,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-990994.270705441,902367.9423662,22.8278694993072,26.4418054598665,1.29872354665275,1.05180991193166
"EMP","GUNN","Gunnerus","58.4.2",4652,2009,1.81,"1",4652,2009,1.81,"1",4652,1,1.81,"1",4652,2009,1.81,"1",5,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1318316.47794764,1926795.11190116,18.9850870933468,14.6055340309512,1.02825250703565,1.04065753123723
"EMP","HALY","Halley","48.5",22510,2009,8.78,"1",22510,2009,8.78,"1",22510,1,8.78,"1",22510,2009,8.78,"1",347,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-727467.56731853,1401630.4841391,300.040692577734,296.289437594679,0.89848981090168,0.823872849872651
"EMP","HASW","Haswell Island","58.4.1",3247,2009,1.27,"1",3247,2009,1.27,"1",9000,3,3.51,"1",17000,1970,6.63,"1",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2582462.07281135,-135793.069066414,0.417242477207698,358.091537541151,1.0739744854034,0.855929025877363
"EMP","KLOA","Kloa Point","58.4.2",3283,2009,1.28,"1",3283,2009,1.28,"1",3283,1,1.28,"1",3283,2009,1.28,"1",20,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2164261.99063295,1390498.57960461,56.3698182747851,46.8005582456225,1.16439603283621,0.990441340360658
"EMP","LAZA","Lazarev","48.6",821,2009,0.32,"0",821,2009,0.32,"0",821,1,0.32,"0",821,2009,0.32,"0",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",595800.357009946,2141129.19709819,34.1977214835771,25.4751764849328,1.81997134215501,1.47516711494936
"EMP","LEDD","Ledda Bay","88.2",0,2009,0,"0",0,2009,0,"0",0,1,0,"0",0,2009,0,"0",358,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1305474.46252745,-1126219.30192036,353.011583835541,353.060869400591,0.75157657315582,0.511318238745466
"EMP","LUIT","Luitpold","48.5",6498,2009,2.53,"1",6498,2009,2.53,"1",6498,1,2.53,"1",6498,2009,2.53,"1",348,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-767429.921676784,1157178.63639728,318.027202234835,316.014043440819,1.14497725715727,1.03334578073094
"EMP","MERT","Mertz Glacier","58.4.1",4781,2009,1.86,"1",4781,2009,1.86,"1",4781,1,1.86,"1",4781,2009,1.86,"1",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1399660.21405038,-2124309.28788027,47.4898481493508,42.9515360135121,0.118056244799275,0.043451011052408
"EMP","NOVI","Noville Peninsula","88.3",3568,2009,1.39,"1",3568,2009,1.39,"1",3568,1,1.39,"1",3568,2009,1.39,"1",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1975261.58808515,-293442.809915519,7.34793637754038,3.56094929176184,1.0472347858814,0.937317017351882
"EMP","PGEO","Point Geologie","58.4.1",2456,2009,0.96,"0",2456,2009,0.96,"0",3020,3,1.18,"1",3119,1984,1.22,"1",347,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1651016.51185746,-1968302.42356468,15.4064686045371,14.034817254431,1.38462423589264,1.17452713548425
"EMP","PSON","Peterson Bank","58.4.1",0,2009,0,"0",0,2009,0,"0",0,1,0,"0",0,2009,0,"0",328,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2490278.49937028,-917724.788602916,311.371894675959,317.532811597476,0.312346728690011,0.170941263991135
"EMP","RAGN","Ragnhild","48.6",6870,2009,2.68,"1",6870,2009,2.68,"1",6870,1,2.68,"1",6870,2009,2.68,"1",351,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1006501.95888217,1962651.96672671,346.050243073425,344.40549672016,1.18197914098125,0.973393710405563
"EMP","RIIS","Riiser","48.6",4013,2009,1.56,"1",4013,2009,1.56,"1",4013,1,1.56,"1",4013,2009,1.56,"1",351,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-510394.960323988,1890296.00333441,335.879894324071,335.388678883226,1.28092375050145,1.14465722466945
"EMP","ROGE","Cape Roget","88.1",6270,2012,2.44,"1",4339,2007,1.69,"1",6102,6,2.38,"1",9505,2009,3.71,"1",135,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",322492.288409817,-1945910.20227678,122.548973581336,108.249364119752,0.969333077888456,0.88019669766665
"EMP","RUPE","Rupert Coast","88.2",1550,2008,0.6,"0",1550,2008,0.6,"0",1550,1,0.6,"0",1550,2008,0.6,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-954303.219269145,-1280295.9887241,0.74305978966119,357.070056825424,1.43974747616217,1.29105719819862
"EMP","SANA","Sanae","48.6",3193,2009,1.24,"1",3193,2009,1.24,"1",3193,1,1.24,"1",3193,2009,1.24,"1",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-54382.0654655616,2193820.31938476,285.144563115325,300.95128326532,1.47146895490783,1.12638736650504
"EMP","SHAC","Shackleton Ice Shelf","58.4.1",6471,2009,2.52,"1",5000,1960,1.95,"1",5736,2,2.24,"1",6471,2009,2.52,"1",340,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2759135.7844261,-290970.651953131,331.30349321405,333.169626155503,0.421085497216708,0.314457651629762
