"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_n_cells","auto_bearing_sum_dist","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"EMP","ROGE","Cape Roget","88.1",6270,2012,2.44,"1",4339,2007,1.69,"1",6102,6,2.38,"1",9505,2009,3.71,"1",135,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",322492.288409817,-1945910.20227678,NA,122.548973581336,NA,0.88019669766665
"EMP","RUPE","Rupert Coast","88.2",1550,2008,0.6,"0",1550,2008,0.6,"0",1550,1,0.6,"0",1550,2008,0.6,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-954303.219269145,-1280295.9887241,NA,0.74305978966119,NA,1.29105719819862
"EMP","SANA","Sanae","48.6",3193,2009,1.24,"1",3193,2009,1.24,"1",3193,1,1.24,"1",3193,2009,1.24,"1",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-54382.0654655616,2193820.31938476,NA,285.144563115325,NA,1.12638736650504
"EMP","SHAC","Shackleton Ice Shelf","58.4.1",6471,2009,2.52,"1",5000,1960,1.95,"1",5736,2,2.24,"1",6471,2009,2.52,"1",340,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2759135.7844261,-290970.651953131,NA,331.30349321405,NA,0.314457651629762
"EMP","SMTH","Smith","48.5",4018,2009,1.57,"1",4018,2009,1.57,"1",4018,1,1.57,"1",4018,2009,1.57,"1",67,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1491755.84534845,832689.411015997,NA,109.980863777725,NA,1.16420507758193
"EMP","SMYL","Smyley","88.3",6061,2009,2.36,"1",6061,2009,2.36,"1",6061,1,2.36,"1",6061,2009,2.36,"1",320,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1901260.2924554,375425.255441159,NA,356.848643153645,NA,0.487293162769058
"EMP","SNOW","Snow Hill Island","48.1",2164,2009,0.84,"0",2164,2009,0.84,"0",2164,1,0.84,"0",2164,2009,0.84,"0",150,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2371017.13190542,1513997.47309085,NA,201.015893491221,NA,0.328944087170406
"EMP","STCB","Stancomb","48.5",5455,2009,2.13,"1",3000,1986,1.17,"1",4228,2,1.65,"1",5455,2009,2.13,"1",3,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-684340.047641394,1605266.7116073,NA,28.7490501587991,NA,1.32952792016846
"EMP","TAYG","Taylor Glacier","58.4.2",519,2009,0.2,"0",519,2009,0.2,"0",1725,3,0.67,"0",2900,1988,1.13,"1",2,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2167371.60583123,1207334.68587817,NA,15.9081913484434,NA,1.50015828652659
"EMP","THUR","Thurston Glacier, Mount Siple","88.2",2989,2009,1.17,"1",2989,2009,1.17,"1",2989,1,1.17,"1",2989,2009,1.17,"1",5,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1467064.8764418,-1051128.81766055,NA,44.8707838972271,NA,1.25406487697685
