"colony_name","colony_size","colony_size_min","colony_size_max","latitude","longitude"
"Madder Cliff (Joinville Island)",34022,34022,34022,-56.4831,-63.2989
"Madder Cliff Island",1000,1000,1261,-56.499,-63.306
"Maher Island",10111,4722,10111,-127.0503,-73.1983
"Mallory Point",4621,870,4621,108.6433,-66.83
"Mame-zima",621,24,621,39.4833,-69.0167
"Mandible Cirque",25122,12649,25122,169.25,-73.117
"Point Martin",26450,24600,26450,-44.7185,-60.7709
"Mawson Coast (excl. Bechervaise Island)",39691,39691,39691,62.9406,-67.5563
"Mount Biscoe",28536,5000,28536,51.3275,-66.2209
"McDonald Point",20,20,20,59.6654,-67.3427
"Meholmen Island",0,0,2,39.4788,-69.0254
"Merritt Island",532,297,532,107.1565,-66.4588
"Mount Gleadell",1576,1576,1576,50.44,-66.941
"Hollin/Midgley",6311,3311,10237,110.4036,-66.3259
"Mizukuguri Cove",1144,134,1144,39.614,-69.197
"Mount Riiser-Larsen",1562,877,1562,50.5511,-66.7908
"Myall/McMahon",686,686,686,45.7356,-67.6721
"North Cape (d'Urville Island)",75,75,75,-56.489,-62.974
"Nelly Island",1316,68,1316,110.1782,-66.2294
"Nella/Thalla Islands",477,181,477,166.0873,-70.6136
"Northeast of Smiggers Island",11,11,11,-65.346483,-65.451571
"Nokkelholmane Islands",34,34,194,39.4635,-69.3811
"North Point",6008,6008,13719,-45.626,-60.672
"Northern Foothills (Terra Nova Bay)",13408,7624,20134,164,-74.75
"Cape Nutt",1412,1412,1971,108.2127,-66.6352
"Odbert Island",9247,9247,10689,110.5421,-66.3742
"Oldham Island",3570,3570,3570,61.7253,-67.5208
"Cape Omega",0,0,562,40.9833,-68.5667
"Ongulkaven",650,43,650,39.4252,-69.0171
"Outer Island",155,155,155,-45.5806,-60.7069
"Pageant Point",220,220,379,-45.5843,-60.7286
"Pantomime Point",792,792,10250,-45.5833,-60.7266
"Patella Island",1000,1000,1000,-55.5238,-63.1294
"Paulet Island",107285,60000,117834,-55.7881,-63.5801
"Port Charcot",10,8,61,-64.026,-65.067
"Peine Island (Comb Island)",12000,3311,12000,-54.717,-63.411
"Penguin Island",231,231,3114,-57.9269,-62.102
"Penguin Point (Seymour Island)",16015,16015,26400,-56.7114,-64.3061
"Petermann Island",238,238,1080,-64.137,-65.176
"Point Geologie",42161,29182,42161,140.01,-66.67
"Cape Phillips",11235,3839,11235,169.6168,-73.0714
"Cape Pigeon Rocks",64607,64607,64607,143.894,-66.9334
"Peter I Island",2,2,2,-90.4917,-68.835
"Peterson Island",30448,5946,30448,110.4993,-66.4665
